NUTS3,within_region,global,within_country,across_country,global_friends
FR101,142004,2705420,1198406,1649018,19.051716853046393
FR102,173114,1725572,880701,1017985,9.967836223529003
FR103,163449,1690648,877311,976786,10.343581178226847
FR104,172717,1952377,899110,1225984,11.30390754818576
FR105,112406,1902041,901692,1112755,16.921169688450796
FR106,101224,2757057,733664,2124617,27.237186833162095
FR107,121393,2072804,842952,1351245,17.075152603527386
FR108,165223,1789585,798866,1155942,10.831330989026952
FRB01,1240189,1580039,2331944,488284,1.274030813045431
FRB02,717841,1284584,1454114,548311,1.7895104904846617
FRB03,1936793,1572305,3023380,485718,0.8118084896011086
FRB04,669730,1519801,1581317,608214,2.2692741851193765
FRB05,1039000,1410151,1902879,546272,1.3572194417709336
FRB06,483922,1577704,1290233,771393,3.2602444195552174
FRC11,884740,1618533,1926137,577136,1.8293882948662885
FRC12,1956129,1476109,2952428,479810,0.7546071859268995
FRC13,886033,1351358,1776920,460471,1.5251779561257877
FRC14,1199926,1311095,2004050,506971,1.0926465465370365
FRC21,888428,1861949,2119742,630635,2.0957792865600813
FRC22,1841769,1482125,2837567,486327,0.8047290403954025
FRC23,1924659,1518415,3081881,361193,0.7889267657283706
FRC24,1918473,1796195,3044193,670475,0.936262850715126
FRD11,618175,1179441,1369408,428208,1.9079403081651636
FRD12,991065,980960,1624226,347799,0.989803897827085
FRD13,1235282,1246829,2078130,403981,1.0093476631246954
FRD21,508336,1074308,1161911,420733,2.1133817002927198
FRD22,358547,1003747,903801,458493,2.7994851442070354
FRE11,192242,1041295,663381,570156,5.416584305198656
FRE12,365981,690248,763453,292776,1.8860214054827984
FRE21,868651,1003728,1480904,391475,1.15550203706667
FRE22,427546,1189027,1077603,538970,2.781050460067455
FRE23,831795,945065,1382772,394088,1.1361753797510203
FRF11,557697,1395345,1147890,805152,2.5019768799186655
FRF12,729087,1431678,1358744,802021,1.9636586580202362
FRF21,2000583,1343899,2664597,679885,0.671753683801172
FRF22,1314848,1406520,2151028,570340,1.0697206064883547
FRF23,700982,1507431,1627552,580861,2.1504560744783747
FRF24,2611311,1406980,3637086,381205,0.5388021572306018
FRF31,567290,1575159,1432910,709539,2.776638051084983
FRF32,2400494,1560240,3347627,613107,0.6499662152873533
FRF33,524169,1351709,1122356,753522,2.578765627116445
FRF34,1420800,1228846,2228800,420846,0.864897240990991
FRG01,297020,1349139,1015157,631002,4.542249680156218
FRG02,550258,1297809,1314320,533747,2.358546354619106
FRG03,1372445,1150338,2091522,431261,0.8381669210788046
FRG04,715976,1243582,1498834,460724,1.7369045889806363
FRG05,637328,1031848,1309792,359384,1.6190219165013933
FRH01,718471,1076569,1361838,433202,1.4984167767383791
FRH02,528455,1069456,1151245,446666,2.0237409050912567
FRH03,387319,1359495,1200983,545831,3.51001370962953
FRH04,519808,1123635,1206456,436987,2.1616346804974143
FRI11,1045299,1526300,2023391,548208,1.4601563763095535
FRI12,282110,1591960,1186884,687186,5.64304703838928
FRI13,947256,1529573,1979102,497727,1.6147408936971632
FRI14,1447717,1533399,2399306,581810,1.0591842190151806
FRI15,793007,1619757,1812420,600344,2.0425506962738034
FRI21,2255950,1935457,3694538,496869,0.8579343513819012
FRI22,4335654,1728650,5585599,478705,0.3987057085274794
FRI23,1205293,1836967,2445751,596509,1.5240833556653859
FRI31,1201226,1368111,2084503,484834,1.138928894312977
FRI32,543261,1287584,1416306,414539,2.3701020319883077
FRI33,1133408,1283640,1972535,444513,1.1325489144244614
FRI34,1010690,1516641,1992704,534627,1.50059959037885
FRJ11,1221315,1481008,2162478,539845,1.2126339232712282
FRJ12,552331,1446261,1454408,544184,2.618467911451648
FRJ13,383126,1599214,1368181,614159,4.174120263307633
FRJ14,7815871,1967025,9242694,540202,0.2516706071530607
FRJ15,1027062,1307484,1782692,551854,1.273033176186053
FRJ21,3198329,1568770,4192664,574435,0.4904967562749173
FRJ22,2417019,1905202,3825330,496891,0.7882445276598984
FRJ23,271736,2008387,1539015,741108,7.3909493037359795
FRJ24,2453765,1748094,3657465,544394,0.7124129653817705
FRJ25,2421706,2005883,3879420,548169,0.8282933601353757
FRJ26,2236496,1658853,3338303,557046,0.7417196364312746
FRJ27,1220233,1533473,2242774,510932,1.2567050719002026
FRJ28,1395534,1708046,2464952,638628,1.2239372168646554
FRK11,1361919,1498182,2420655,439446,1.100052205747919
FRK12,5357055,1843169,6859813,340411,0.34406385598057143
FRK13,2818557,1481875,3925173,375259,0.5257566194332773
FRK14,803596,1756439,2002707,557328,2.1857239209752164
FRK21,549100,1456721,1338066,667755,2.6529247860134766
FRK22,1245102,1514334,2289759,469677,1.216232886944202
FRK23,733904,1511262,1716415,528751,2.0592093788833417
FRK24,346325,1386025,1104842,627508,4.002093409369811
FRK25,694195,1352283,1501708,544770,1.947987237015536
FRK26,211905,1718435,1100378,829962,8.109459427573677
FRK27,1031272,1640723,1923798,748197,1.590970180514937
FRK28,546043,1809872,1381929,973986,3.3145228489331426
FRL01,2371271,1649652,3425442,595481,0.6956826107180495
FRL02,3439268,1782493,4594661,627100,0.5182768542608486
FRL03,378825,2016081,1010495,1384411,5.321932290635518
FRL04,181173,1461045,942339,699879,8.06436389528241
FRL05,360896,1350721,1102673,608944,3.742687644085831
FRL06,615689,1351975,1416781,550883,2.1958732411980724
FRM01,5191194,2454870,6879746,766318,0.47289120768748
FRM02,5672095,2365610,7330277,707428,0.41706106826490036
FRO,34980788,1721743,34985570,1716961,0.04921967452534231
FRY10,2206892,3039317,3025851,2220358,1.377193356086297
FRY20,2475595,1849511,3317093,1008013,0.7470975664436227
FRY30,3745991,2916532,4522029,2140494,0.7785742144068152
FRY40,901661,1283143,1606593,578211,1.4230880563759551
FRY50,4826617,2833766,5983090,1677293,0.5871122568871737
